event_id,dataset_type,is_demo,latitude,longitude,acquisition_datetime,satellite,instrument,frp,brightness_temperature_k,firms_confidence,scan_km,track_km,day_night,nearest_facility_type,nearest_facility_distance_m,industrial_context_score,nearest_water_distance_m,dw_water,dw_trees,dw_grass,dw_flooded_vegetation,dw_crops,dw_shrub_scrub,dw_built,dw_bare,dw_snow_ice,dw_dominant_class,dw_confidence,detections_24h,detections_3d,detections_7d,active_days,persistence_duration_days,mean_frp,max_frp,target_class
demo_000540,synthetic_demo,True,31.641159,77.27523,2026-08-03T18:27:00,VIIRS,VIIRS,18.755,331.715,66.4,1.484,0.419,D,forest,161.46,0.0849,1136.33,0.020232,0.038171,0.171179,0.040634,0.42511,0.073381,0.111201,0.120092,0.0,crops,0.42511,1,1,1,1,1,17.76,22.205,Agricultural Fire
demo_000639,synthetic_demo,True,23.375846,85.457918,2026-08-19T01:28:00,MODIS,MODIS,112.972,332.441,85.31,0.445,0.579,D,industrial,95.57,0.8514,695.26,0.085004,0.059056,0.002542,5e-05,1e-06,0.006017,0.638352,0.208978,0.0,built,0.638352,70,478,478,519,519,104.893,164.896,Persistent Thermal Source
demo_000760,synthetic_demo,True,24.063267,84.480047,2026-08-24T02:58:00,MODIS,VIIRS,98.696,340.068,80.92,0.714,0.679,N,warehouse,217.63,0.7196,728.99,0.181281,0.103403,0.129383,4.2e-05,1e-06,0.000356,0.470656,0.060746,0.054133,built,0.470656,72,141,320,420,420,81.674,104.44,Persistent Thermal Source
demo_000469,synthetic_demo,True,32.200941,76.165306,2026-08-13T15:13:00,MODIS,MODIS,32.505,323.516,82.4,0.4,0.699,D,industrial,775.18,0.1927,640.52,0.025992,0.036977,0.031261,0.046165,0.550285,0.181151,0.087762,0.040407,0.0,crops,0.550285,1,1,1,1,1,29.458,50.734,Agricultural Fire
demo_000923,synthetic_demo,True,26.237563,70.408589,2026-02-01T13:05:00,MODIS,MODIS,42.246,305.913,70.53,1.319,1.437,D,water,764.8,0.0776,2046.77,0.148782,0.043027,0.027732,0.012915,0.080288,0.242385,0.048997,0.395784,9e-05,bare,0.395784,2,7,8,11,11,42.225,67.846,Unknown / Other
demo_000062,synthetic_demo,True,18.544951,72.555639,2026-07-28T11:47:00,VIIRS,VIIRS,68.133,328.547,81.82,0.504,1.844,D,none,239.56,0.5802,481.13,0.043883,0.016517,0.035169,0.000671,0.000294,0.0,0.851777,0.051689,0.0,built,0.851777,3,8,15,21,21,70.344,82.485,Industrial Fire
demo_000369,synthetic_demo,True,23.278881,78.760915,2026-05-06T01:33:00,MODIS,VIIRS,144.147,333.938,82.41,0.913,1.049,N,industrial,4779.95,0.0699,1142.37,0.045748,0.515706,0.180475,0.002935,0.002155,0.215262,0.012639,0.02508,0.0,trees,,1,1,3,2,2,115.634,144.147,Wildfire / Natural Fire
demo_000715,synthetic_demo,True,22.78162,82.842312,2026-08-10T00:48:00,VIIRS,VIIRS,96.549,334.398,85.92,0.927,0.719,D,none,477.47,0.5565,1534.82,0.144581,0.013117,0.117492,0.00676,0.001003,0.01272,0.459243,0.245024,6e-05,built,0.459243,255,312,730,708,708,74.45,96.549,Persistent Thermal Source
demo_000148,synthetic_demo,True,20.529717,72.00135,2026-01-12T12:54:00,VIIRS,MODIS,32.458,339.513,89.67,0.796,1.308,D,forest,60.21,0.5822,832.51,0.036736,0.052207,0.021207,0.049785,0.026646,0.00012,0.666692,0.146606,0.0,built,0.666692,2,8,19,18,18,30.458,36.451,Industrial Fire
demo_000284,synthetic_demo,True,21.80983,78.103885,2026-02-04T19:58:00,VIIRS,VIIRS,70.061,334.918,79.28,1.198,1.356,D,water,1857.62,0.0432,1892.53,0.157233,0.498745,0.228238,0.003618,0.050996,0.044167,1e-05,0.016994,0.0,trees,0.498745,1,4,7,6,6,49.771,70.872,Wildfire / Natural Fire
demo_000920,synthetic_demo,True,23.856529,71.930924,2026-05-17T00:11:00,MODIS,MODIS,34.672,318.428,52.24,1.316,0.737,N,warehouse,2415.6,0.1308,1407.72,0.039209,0.108539,0.066483,0.002211,0.102383,0.231813,0.00902,0.440342,0.0,bare,0.440342,4,9,18,14,14,34.886,60.132,Unknown / Other
demo_000959,synthetic_demo,True,28.248235,69.879059,2026-08-06T17:32:00,MODIS,VIIRS,12.62,311.456,61.29,1.097,0.985,D,farm,7914.87,0.0176,228.36,0.072035,0.148663,0.155481,0.000632,0.056379,0.214405,0.004001,0.348404,0.0,bare,0.348404,1,7,7,8,8,10.542,18.632,Unknown / Other
demo_000048,synthetic_demo,True,18.654056,72.046403,2026-04-12T23:05:00,VIIRS,MODIS,209.824,350.908,81.29,0.66,0.906,N,water,624.69,0.7138,643.69,0.202739,0.019348,0.002683,0.000172,0.035887,1e-06,0.462315,0.276855,1e-06,built,0.462315,2,13,16,14,14,174.149,308.209,Industrial Fire
demo_000746,synthetic_demo,True,25.592067,86.838606,2026-01-11T04:44:00,MODIS,MODIS,56.58,337.282,87.67,0.49,0.819,D,none,24.65,0.7548,368.55,0.247513,0.006935,0.000271,0.014383,0.015213,0.000101,0.537839,0.168976,0.008768,built,0.537839,193,274,653,585,585,54.403,63.906,Persistent Thermal Source
demo_000989,synthetic_demo,True,27.561752,69.585451,2026-01-31T14:17:00,VIIRS,MODIS,20.711,315.754,48.61,1.656,1.459,D,industrial,1106.89,0.0001,393.47,0.074969,0.099873,0.050438,0.11762,0.052829,0.010755,0.000931,0.592584,0.0,bare,0.592584,1,2,5,6,6,15.302,21.075,Unknown / Other
demo_000726,synthetic_demo,True,22.674241,87.775844,2026-04-25T07:24:00,MODIS,VIIRS,70.746,334.257,85.63,0.605,2.044,D,farm,222.96,0.8976,462.07,0.161816,0.041792,0.002058,5.5e-05,0.042444,0.01686,0.666098,0.068877,0.0,built,0.666098,57,91,215,236,236,67.103,84.62,Persistent Thermal Source
demo_000127,synthetic_demo,True,18.06421,74.049026,2026-04-06T00:33:00,MODIS,VIIRS,103.406,350.993,85.55,0.681,2.038,D,farm,136.55,0.7907,1541.2,0.119721,0.002759,0.07081,1e-06,0.01009,0.027799,0.513246,0.255575,0.0,built,0.513246,6,11,16,23,23,87.38,105.827,Industrial Fire
demo_000102,synthetic_demo,True,19.812166,74.906334,2026-05-31T15:55:00,VIIRS,MODIS,93.899,344.109,78.88,0.514,1.303,D,industrial,224.22,0.6068,636.65,0.019614,0.320177,0.040218,5e-05,0.001065,0.000526,0.452907,0.165442,0.0,built,0.452907,3,8,20,23,23,76.099,93.899,Industrial Fire
demo_000944,synthetic_demo,True,26.696298,68.696064,2026-06-29T07:54:00,VIIRS,VIIRS,20.08,317.314,72.98,1.135,1.985,D,forest,2549.85,0.2016,384.39,0.037094,0.254139,0.082989,0.000126,0.040783,0.057795,0.023946,0.49424,0.008888,bare,0.49424,4,6,14,12,12,19.093,32.666,Unknown / Other
demo_000792,synthetic_demo,True,23.462177,86.818621,2026-06-11T14:51:00,VIIRS,MODIS,128.54,327.742,84.77,0.662,1.46,N,farm,118.28,0.7664,1823.09,0.002633,0.013829,0.002368,0.002097,0.155048,0.041765,0.611312,0.081469,0.089479,built,0.611312,30,87,87,113,113,132.207,191.222,Persistent Thermal Source
demo_000086,synthetic_demo,True,18.43513,72.789158,2026-05-11T16:23:00,VIIRS,VIIRS,58.18,341.388,82.86,1.601,1.894,D,none,115.34,0.6887,1152.77,0.011819,0.038835,0.064222,0.026859,0.048906,0.018471,0.477402,0.313409,7.8e-05,built,0.477402,2,7,14,13,13,45.175,66.74,Industrial Fire
demo_000415,synthetic_demo,True,30.99894,75.551153,2026-05-10T06:28:00,MODIS,VIIRS,48.636,322.796,79.16,0.576,1.583,N,none,537.64,0.3117,1571.38,0.029906,0.141162,0.045335,0.001066,0.603516,0.03729,0.016497,0.121287,0.003941,crops,0.603516,1,3,3,3,3,36.638,62.118,Agricultural Fire
demo_000037,synthetic_demo,True,18.231229,71.965775,2026-05-24T12:32:00,MODIS,MODIS,56.26,341.004,97.75,0.787,0.924,D,forest,93.72,0.8806,1723.9,0.237322,0.055574,0.017028,0.004352,0.018477,0.027146,0.592727,0.04737,4e-06,built,0.592727,6,10,27,23,23,42.13,71.478,Industrial Fire
demo_000470,synthetic_demo,True,31.85365,77.396551,2026-02-06T23:16:00,VIIRS,VIIRS,12.354,325.625,87.97,1.431,1.296,N,none,1385.56,0.145,951.41,0.038122,0.059239,0.263192,0.000246,0.439963,0.046119,0.096776,0.056343,0.0,crops,0.439963,1,2,2,2,2,11.115,18.656,Agricultural Fire
demo_000629,synthetic_demo,True,22.333812,86.576085,2026-01-19T17:02:00,VIIRS,MODIS,65.754,332.616,96.06,0.886,1.424,D,forest,134.91,0.5577,390.11,0.170313,0.119524,0.00281,6e-06,0.14704,0.107149,0.422346,0.030484,0.000328,built,,194,284,372,502,502,62.003,96.51,Persistent Thermal Source
